family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,17,17,10.03125,10.65625,-0.06230529595015577
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,17,17,5.5625,6.25,-0.12359550561797761
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,17,17,5.4375,5.125,0.05747126436781613
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,17,17,5.171875,4.546875,0.12084592145015105
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,17,17,4.96875,4.03125,0.18867924528301883
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,17,17,4.921875,4.140625,0.15873015873015872
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,17,17,4.84375,4.59375,0.05161290322580647
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,17,17,4.8125,4.46875,0.0714285714285714
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,17,17,4.53125,3.140625,0.3068965517241379
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,17,17,4.375,3.78125,0.13571428571428568
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,17,17,3.453125,1.234375,0.6425339366515836
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,17,17,3.40625,2.65625,0.22018348623853212
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,17,17,3.140625,2.640625,0.15920398009950254
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,17,17,2.890625,1.96875,0.3189189189189189
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,17,17,2.8203125,2.140625,0.24099722991689754
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,17,17,2.75,0.640625,0.7670454545454546
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,17,17,2.671875,2.390625,0.10526315789473684
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,17,17,2.625,2.34375,0.1071428571428571
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,17,17,2.46875,2.40625,0.025316455696202556
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,17,17,2.40625,2.15625,0.10389610389610393
