family_id,original_S_lp,intervention_norm,actual_mhk_recovery,random_direction_mean_recovery,random_direction_std_recovery,random_direction_p95_recovery,specificity_ratio,interpretation,random_recoveries
CM_B_UM_059,10.03125,6.642989158630371,0.7227414330218069,0.019470404984423713,0.11080395185262704,0.16884735202492215,37.11999999999993,SPECIFIC,"[-0.10280373831775691, 0.1651090342679128, 0.01869158878504673, -0.10591900311526481, 0.09968847352024923, 0.04672897196261683, -0.031152647975077885, -0.06542056074766345, -0.2647975077881619, 0.09034267912772587, 0.16822429906542058, -0.04672897196261672, 0.06230529595015577, -0.0778816199376946, 0.16822429906542058, 0.049844236760124616, 0.015576323987538943, -0.03426791277258556, 0.18068535825545173, 0.052959501557632405]"
CM_B_UM_032,5.5625,6.873618125915527,1.6629213483146068,-0.033707865168539304,0.37586746865844567,0.606741573033708,-49.333333333333364,SPECIFIC,"[0.601123595505618, 0.1966292134831461, 0.016853932584269704, -0.297752808988764, 0.050561797752809, -0.1910112359550562, -0.2078651685393258, 0.151685393258427, -0.1685393258426966, 0.7134831460674158, -0.1853932584269662, -0.028089887640449396, 0.5280898876404494, -0.10674157303370779, -0.202247191011236, -0.3258426966292134, 0.449438202247191, -0.550561797752809, -0.3202247191011236, -0.797752808988764]"
CM_B_STD_006,5.4375,6.425783634185791,1.5632183908045976,0.04913793103448275,0.1941684761907928,0.33419540229885064,31.812865497076025,SPECIFIC,"[-0.14367816091954033, 0.017241379310344862, 0.017241379310344862, -0.10919540229885061, 0.26436781609195403, 0.028735632183908066, 0.09195402298850575, 0.3505747126436781, -0.028735632183908066, -0.2931034482758621, 0.17816091954022983, 0.2931034482758621, -0.38505747126436773, -0.005747126436781658, 0.03448275862068961, 0.33333333333333337, 0.2931034482758621, 0.06321839080459768, -0.0862068965517242, 0.06896551724137934]"
CM_B_UM_055,5.171875,6.707155704498291,2.0604229607250755,-0.018429003021148027,0.3914245612813128,0.5006042296072508,-111.80327868852464,SPECIFIC,"[0.4954682779456193, 0.012084592145015116, 0.18126888217522663, 0.27794561933534745, -0.8277945619335347, -0.5558912386706949, -0.12688821752265866, -0.6888217522658611, 0.44712990936555896, -0.5800604229607251, -0.03625377643504524, 0.12084592145015105, 0.5981873111782477, 0.12084592145015105, -0.1570996978851964, -0.012084592145015005, 0.3323262839879154, -0.3262839879154078, 0.19335347432024175, 0.1631419939577039]"
CM_B_STD_013,4.96875,6.2029314041137695,1.2138364779874213,-0.013522012578616327,0.2876578235618677,0.4968553459119498,-89.76744186046528,SPECIFIC,"[-0.4591194968553458, -0.23270440251572322, -0.2767295597484276, 0.07547169811320753, 0.49056603773584906, -0.320754716981132, 0.6163522012578616, 0.08805031446540879, -0.13207547169811318, -0.3396226415094339, -0.16352201257861632, 0.35220125786163525, 0.02515723270440251, 0.2075471698113207, 0.16981132075471694, -0.17610062893081757, -0.3899371069182389, -0.018867924528301883, 0.20125786163522008, 0.012578616352201255]"
CM_B_UM_052,4.921875,6.758421897888184,2.0730158730158728,0.2117460317460318,0.3894606745641952,0.930793650793651,9.790104947526233,SPECIFIC,"[-0.3301587301587301, -0.38095238095238093, 0.42539682539682544, 0.15873015873015872, -0.21587301587301577, 0.42539682539682544, 0.584126984126984, 0.9238095238095239, 0.38095238095238093, 0.12698412698412698, 0.40634920634920635, 0.20317460317460323, 1.0634920634920635, 0.006349206349206327, 0.4444444444444444, 0.15873015873015872, 0.43174603174603177, -0.32380952380952377, -0.16507936507936516, -0.0888888888888888]"
CM_B_STD_010,4.84375,6.176625728607178,1.270967741935484,0.09838709677419356,0.24770223976332328,0.4422580645161291,12.918032786885243,SPECIFIC,"[0.17419354838709677, -0.25161290322580654, 0.5096774193548388, 0.43870967741935485, 0.1548387096774193, -0.14193548387096766, -0.31612903225806455, -0.32258064516129026, 0.14193548387096777, 0.3548387096774194, 0.25806451612903225, 0.4, -0.2451612903225806, -0.012903225806451646, -0.019354838709677358, 0.25806451612903225, 0.17419354838709677, 0.10967741935483866, 0.012903225806451646, 0.29032258064516125]"
CM_B_STD_011,4.8125,6.303633213043213,0.8831168831168831,0.022402597402597417,0.26685447914099497,0.39740259740259753,39.42028985507244,SPECIFIC,"[-0.3571428571428572, -0.1428571428571428, 0.1298701298701299, -0.24025974025974017, 0.11688311688311692, 0.38961038961038963, -0.07792207792207795, 0.051948051948051965, 0.13636363636363635, 0.2272727272727273, -0.5129870129870129, 0.24025974025974028, 0.5454545454545454, 0.14935064935064934, -0.16883116883116878, -0.29220779220779214, -0.3116883116883118, 0.11038961038961037, 0.2272727272727273, 0.2272727272727273]"
CM_B_UM_033,4.53125,6.827429294586182,2.6275862068965514,0.05431034482758621,0.3844957087659796,0.585344827586207,48.38095238095237,SPECIFIC,"[-0.7551724137931035, 0.7, 0.4896551724137931, 0.15517241379310343, -0.18965517241379315, 0.3137931034482758, 0.4172413793103448, 0.1586206896551724, -0.3413793103448275, 0.36896551724137927, 0.03103448275862064, -0.5758620689655172, 0.4, -0.4655172413793103, -0.193103448275862, 0.5793103448275863, -0.12413793103448278, 0.006896551724137945, 0.02758620689655178, 0.08275862068965523]"
CM_B_UM_009,4.375,6.725829124450684,1.7642857142857142,0.10428571428571427,0.25728567462520513,0.5460714285714287,16.917808219178085,SPECIFIC,"[0.1071428571428571, 0.02857142857142858, 0.1071428571428571, 0.22857142857142854, 0.2928571428571428, -0.12142857142857144, 0.050000000000000044, 0.042857142857142816, 0.26428571428571423, 0.0071428571428571175, 0.5357142857142857, -0.3285714285714285, -0.03571428571428581, -0.09285714285714275, 0.6071428571428572, -0.23571428571428577, 0.05714285714285716, 0.30000000000000004, 0.5428571428571429, -0.27142857142857135]"
CM_B_UM_013,3.453125,6.638448238372803,2.6515837104072397,-0.27533936651583707,0.8148029461380193,1.415837104072398,-9.630238290879213,SPECIFIC,"[-0.12669683257918551, -0.045248868778280604, -0.3529411764705883, -1.076923076923077, -0.7420814479638009, -1.1402714932126696, -0.06334841628959276, -0.3167420814479638, -0.9683257918552035, -1.7828054298642533, -1.1221719457013575, -0.5610859728506787, -1.067873303167421, 1.493212669683258, 1.4117647058823528, 0.17194570135746612, 0.23076923076923073, -0.2624434389140271, 0.4072398190045249, 0.4072398190045249]"
TH_B_UM_006,3.40625,6.7000226974487305,2.5504587155963305,0.08853211009174311,0.4445048805573717,0.7905963302752294,28.80829015544042,SPECIFIC,"[-0.9449541284403671, 0.908256880733945, 0.6788990825688073, -0.27522935779816504, 0.37614678899082565, -0.5229357798165137, 0.7844036697247706, -0.022935779816513735, -0.1330275229357798, -0.050458715596330306, -0.03669724770642202, 0.3165137614678899, 0.3532110091743119, 0.1834862385321101, -0.12385321100917435, -0.4128440366972477, -0.2339449541284404, 0.2522935779816514, 0.4128440366972477, 0.26146788990825687]"
CM_B_UM_006,3.140625,6.390835762023926,1.4129353233830846,0.12089552238805971,0.2506055634596324,0.4788557213930349,11.687242798353909,SPECIFIC,"[0.47263681592039797, 0.3731343283582089, 0.00995024875621886, 0.45273631840796025, 0.3233830845771144, -0.06965174129353224, 0.21890547263681592, -0.1393034825870647, 0.1393034825870647, 0.22885572139303478, -0.1094527363184079, 0.5970149253731343, -0.2288557213930349, -0.2189054726368158, -0.1691542288557213, -0.14925373134328357, 0.32835820895522383, 0.08955223880597019, 0.3084577114427861, -0.03980099502487566]"
TH_B_UM_008,2.890625,6.506542205810547,2.3945945945945946,0.09027027027027028,0.45511812255550915,0.8240540540540542,26.52694610778443,SPECIFIC,"[0.4378378378378378, -0.24864864864864855, 0.027027027027026973, 0.5621621621621622, -0.27567567567567575, 0.6594594594594594, -0.5837837837837838, -0.11351351351351346, 0.027027027027026973, 0.1351351351351351, -0.4540540540540541, -0.5621621621621622, 0.8108108108108107, 1.0756756756756758, 0.1945945945945946, 0.4972972972972973, -0.42162162162162153, 0.1837837837837838, -0.1351351351351351, -0.0108108108108107]"
EL_B_002,2.8203125,6.693673610687256,3.311634349030471,-0.1547091412742382,0.8871777785771137,1.272437673130194,-21.405550581915847,SPECIFIC,"[1.3961218836565097, -1.4626038781163433, -0.4404432132963989, 0.4182825484764543, -1.1772853185595569, -1.4958448753462603, 0.03878116343490301, 0.9473684210526316, 0.18282548476454297, -0.08310249307479234, -0.6454293628808865, 1.2659279778393353, -0.631578947368421, 0.39335180055401664, 0.09972299168975074, 0.3628808864265928, -2.0775623268698062, -0.35734072022160657, -0.030470914127423754, 0.20221606648199442]"
