template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_B_UM_001,mechanics,nongoverning_distractor,hooke_law_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,2.46875,1.421875
CM_B_UM_002,mechanics,nongoverning_distractor,newton_second_law_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,1.71875,0.234375
CM_B_UM_003,mechanics,nongoverning_distractor,normal_force_static_equilibrium,force_force,0.0,0.0,0.0,0.0,True,True,False,,0.21875,0.21875
CM_B_UM_004,mechanics,nongoverning_distractor,kinetic_friction_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,1.484375
CM_B_UM_005,mechanics,nongoverning_distractor,tension_static_support,force_force,0.0,0.0,0.5,0.5,True,True,False,,0.0,1.375
CM_B_UM_006,mechanics,nongoverning_distractor,centripetal_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,3.140625,0.0
CM_B_UM_007,mechanics,nongoverning_distractor,incline_force_component,force_force,0.6666666666666666,0.6666666666666666,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_008,mechanics,nongoverning_distractor,buoyant_force,force_force,0.0,0.0,0.6666666666666666,0.6666666666666666,True,True,False,,0.0,0.0
CM_B_UM_009,mechanics,nongoverning_distractor,constant_acceleration_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,4.375,0.53125
CM_B_UM_010,mechanics,nongoverning_distractor,average_velocity_uniform_motion,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,1.25,0.0
CM_B_UM_011,mechanics,nongoverning_distractor,free_fall_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,0.0,2.34375
CM_B_UM_012,mechanics,nongoverning_distractor,wave_speed,velocity_velocity,0.0,0.0,0.8333333333333334,0.8333333333333334,True,True,False,,2.75,0.0
CM_B_UM_013,mechanics,nongoverning_distractor,circular_speed,velocity_velocity,0.6666666666666666,0.6666666666666666,0.0,0.0,True,False,False,llama_degraded,3.453125,2.515625
CM_B_UM_014,mechanics,nongoverning_distractor,projectile_horizontal_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,1.84375,0.140625
CM_B_UM_015,electrostatics_circuits,nongoverning_distractor,ohms_law_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.578125,0.21875
CM_B_UM_016,electrostatics_circuits,nongoverning_distractor,power_voltage_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,1.1640625,0.125
CM_B_UM_017,electrostatics_circuits,nongoverning_distractor,series_circuit_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.390625
CM_B_UM_018,electrostatics_circuits,nongoverning_distractor,single_branch_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.734375
CM_B_UM_019,electrostatics_circuits,nongoverning_distractor,battery_external_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_020,electrostatics_circuits,nongoverning_distractor,kirchhoff_current_split,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.34375,0.0
CM_B_UM_021,electrostatics_circuits,nongoverning_distractor,ohms_law_voltage,voltage_voltage,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.03125
CM_B_UM_022,electrostatics_circuits,nongoverning_distractor,power_current_voltage,voltage_voltage,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,2.078125,0.0
CM_B_UM_023,electrostatics_circuits,nongoverning_distractor,series_voltage_drop,voltage_voltage,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.0
CM_B_UM_024,electrostatics_circuits,nongoverning_distractor,capacitor_voltage,voltage_voltage,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,0.53125,0.0
CM_B_UM_025,electrostatics_circuits,nongoverning_distractor,terminal_voltage,voltage_voltage,0.5,0.5,0.5,0.5,True,True,True,,1.65625,0.0
CM_B_UM_026,electrostatics_circuits,nongoverning_distractor,potential_divider,voltage_voltage,0.5,0.5,0.5,0.5,True,True,True,,0.0,0.1640625
CM_B_UM_027,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.71875,0.0
CM_B_UM_028,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_029,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.140625
CM_B_UM_030,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.3125,0.375
CM_B_UM_031,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_032,mechanics,nongoverning_distractor,spring_mass_frequency,frequency_frequency,1.0,1.0,0.0,0.0,True,True,False,,5.5625,1.875
CM_B_UM_033,mechanics,nongoverning_distractor,pendulum_frequency,frequency_frequency,0.5,0.5,0.5,0.5,True,True,True,,4.53125,0.078125
CM_B_UM_034,mechanics,nongoverning_distractor,spring_mass_frequency,frequency_frequency,0.5,0.5,0.0,0.0,True,True,False,,2.15625,1.6875
CM_B_UM_035,mechanics,nongoverning_distractor,pendulum_frequency,frequency_frequency,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,,0.0,0.0
CM_B_UM_036,mechanics,nongoverning_distractor,wave_frequency,frequency_frequency,0.5,0.5,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_037,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.125
CM_B_UM_038,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.5,0.5,0.5,0.5,True,True,True,,1.8125,1.046875
CM_B_UM_039,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.5,0.5,0.0,0.0,True,True,False,,0.375,0.0
CM_B_UM_040,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.0,0.0,0.0,0.0,True,True,False,,0.75,0.0
