model_id,canonical_family_id,domain,cue_type,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,causal_site,intervention_effect,source_experiment_ids,S_lp_null_reason,monitor_null_reason,causal_null_reason
qwen_primary,CM_B_008,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_009,mechanics,nongoverning_distractor,0.546875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_010,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_001,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_002,mechanics,nongoverning_distractor,1.625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_003,mechanics,nongoverning_distractor,1.15625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_004,mechanics,nongoverning_distractor,0.296875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_005,mechanics,nongoverning_distractor,0.6875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_006,mechanics,nongoverning_distractor,5.4375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_007,thermodynamics,nongoverning_distractor,1.890625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_008,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_009,thermodynamics,nongoverning_distractor,2.265625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_010,electrostatics_circuits,nongoverning_distractor,4.84375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_011,electrostatics_circuits,nongoverning_distractor,4.8125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_012,electrostatics_circuits,nongoverning_distractor,1.8125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_013,mechanics,nongoverning_distractor,4.96875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_014,mechanics,nongoverning_distractor,2.40625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_STD_015,mechanics,nongoverning_distractor,2.625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_001,mechanics,nongoverning_distractor,2.46875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
