model_id,model_role,model_revision,canonical_family_id,template_id,domain,cue_type,benchmark_version,split_membership,family_manifest_hash,solver_certificate_hash,automated_solver_status,human_validation_status,adjudication_status,n_variants_expected,n_variants_observed,n_variants_parsed,family_parse_rate,base_variant_correct,all_variants_correct,family_correctness_rate,S_lp,S_lp_binary,answer_flip_rate,distributional_sensitivity,primary_monitor_score,monitor_layer,monitor_site,entropy_score,confidence_score,black_box_counterfactual_score,cot_classifier_score,answer_rationale_score,correctness_probe_score,causal_panel_eligible,causal_site,intervention_type,normalized_effect,raw_correct_logprob_effect,raw_S_lp_effect,sign_consistent,general_damage_metric,exclusion_flag,exclusion_reason,evidence_status,paper_eligibility,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason,confidence_score_null_reason,black_box_counterfactual_score_null_reason,cot_classifier_score_null_reason,answer_rationale_score_null_reason,correctness_probe_score_null_reason,causal_panel_eligible_null_reason,causal_site_null_reason,intervention_type_null_reason,normalized_effect_null_reason,general_damage_metric_null_reason
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_001,CM_A_STD_001,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,0cc08ae2b2a95bc3a207ba6c810eb5596e1011f75dae310898181425c1251211,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.03125,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_002,CM_A_STD_002,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,a94b9ae6d4a92d6013ea5f38f990086403161e2273f905541632eb69d19dd457,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.21875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_003,CM_A_STD_003,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,148eadc79e4da17f8f9bfec918fe91ad469039254df891a8b44f484d7df104a1,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.046875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_004,CM_A_STD_004,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,bc0b639cb710a8d35aa29743b04c392b938cd21b8a966f11f36d169ba0d0ecd4,certified,pending_stage13,not_started,4,4,4,1.0,,,,1.328125,1,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_005,CM_A_STD_005,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,0250754f7b939f40fb43e5cdc9746c56b968833dc1372ecb00418146b9f7687c,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.28125,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_006,CM_A_STD_006,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,077aa516bbedc6ef0377cd4d934125d591671ee3b92d68b54e9fd55726eb2d49,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.53125,1,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_007,CM_A_STD_007,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,31e7873131bad4fcad1ef220259ad10824cc03d9433079630222f77f7e7471ee,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.1875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_008,CM_A_STD_008,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,e41b551e0c55b0aafd4e10593899603b2063eea8263c0d848d3f6136ad7c3394,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.109375,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_009,CM_A_STD_009,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,c0fdf6753d14bca783bd0044903d64903eb2d249fcd81247855a326252e94d72,certified,pending_stage13,not_started,4,4,4,1.0,,,,1.921875,1,0.5,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_010,CM_A_STD_010,mechanics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,3e3434f79bccfa663b0ff383244109cf37b216ccb0e247d5f0ede55f93fdfd11,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.15625,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
