template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_B_010,mechanics,nongoverning_distractor,torque_perpendicular_force,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.203125
CM_B_STD_001,mechanics,nongoverning_distractor,rotational_dynamics_angular_acceleration,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.234375
CM_B_STD_002,mechanics,nongoverning_distractor,rotational_dynamics_from_force,,0.5,0.5,0.0,0.0,True,True,False,,1.625,0.078125
CM_B_STD_003,mechanics,nongoverning_distractor,rotational_dynamics_braking,,0.0,0.0,0.0,0.0,True,True,False,,1.15625,1.25
CM_B_STD_004,mechanics,nongoverning_distractor,fluid_static_pressure_depth,,0.0,0.0,0.5,0.5,True,True,False,,0.296875,0.3125
CM_B_STD_005,mechanics,nongoverning_distractor,fluid_static_pressure_density,,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,0.6875,0.0
CM_B_STD_006,mechanics,nongoverning_distractor,fluid_static_pressure_short_column,,0.0,0.0,0.5,0.5,True,True,False,,5.4375,0.0
CM_B_STD_007,thermodynamics,nongoverning_distractor,heat_energy_capacity,,0.5,0.5,0.0,0.0,True,True,False,,1.890625,0.640625
CM_B_STD_008,thermodynamics,nongoverning_distractor,heat_energy_aluminum_block,,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.1875
CM_B_STD_009,thermodynamics,nongoverning_distractor,heat_energy_generic_capacity,,0.0,0.0,0.0,0.0,True,True,False,,2.265625,0.0625
CM_B_STD_010,electrostatics_circuits,nongoverning_distractor,electric_field_point_charge,,0.5,0.5,0.8333333333333334,0.8333333333333334,True,True,True,,4.84375,0.296875
CM_B_STD_011,electrostatics_circuits,nongoverning_distractor,electric_field_distance_distractor,,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,4.8125,0.359375
