family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",10.03125,9.15625,0.08722741433021808
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",5.5625,5.65625,-0.016853932584269593
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",5.4375,5.4375,0.0
CM_B_UM_055,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",5.171875,4.765625,0.0785498489425982
CM_B_STD_013,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",4.96875,4.6875,0.05660377358490565
CM_B_UM_052,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",4.921875,4.015625,0.18412698412698414
CM_B_STD_010,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",4.84375,4.5,0.07096774193548383
CM_B_STD_011,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",4.8125,4.875,-0.01298701298701288
CM_B_UM_033,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",4.53125,3.125,0.31034482758620685
CM_B_UM_009,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",4.375,4.5625,-0.04285714285714293
CM_B_UM_013,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",3.453125,3.953125,-0.14479638009049767
TH_B_UM_006,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",3.40625,3.359375,0.013761467889908285
CM_B_UM_006,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",3.140625,2.828125,0.09950248756218905
TH_B_UM_008,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",2.890625,2.578125,0.10810810810810811
EL_B_002,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",2.8203125,2.2421875,0.20498614958448758
CM_B_UM_012,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",2.75,3.140625,-0.14204545454545459
CM_B_004,0,1,16,resid_post_last_prompt,head_knockout,,"26,24",2.671875,1.953125,0.26900584795321636
CM_B_STD_015,0,3,16,resid_post_last_prompt,head_knockout,,"26,24",2.625,3.21875,-0.22619047619047628
CM_B_UM_001,0,2,16,resid_post_last_prompt,head_knockout,,"26,24",2.46875,2.25,0.08860759493670889
CM_B_STD_014,0,3,16,resid_post_last_prompt,head_knockout,,"26,24",2.40625,2.9375,-0.22077922077922074
