expected_run_id,source,stage,experiment_family,model_id,configuration_identity,panel_identity,job_id_if_known,result_directory,raw_artifacts,summary_artifacts,logs,config,confidence,registry_experiment_id,mapping_status
results_stage10_full_head_sweep_l16_head_21_run_causal_patching_events,summary_or_raw_artifact,stage10,head_21,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_21,results/stage10/full_head_sweep_l16/head_21/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_21/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_22_patching_results,summary_or_raw_artifact,stage10,head_22,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_22,results/stage10/full_head_sweep_l16/head_22/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_22_patching_summary,summary_or_raw_artifact,stage10,head_22,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_22,,results/stage10/full_head_sweep_l16/head_22/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_22_run_causal_patching_events,summary_or_raw_artifact,stage10,head_22,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_22,results/stage10/full_head_sweep_l16/head_22/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_22/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_23_patching_results,summary_or_raw_artifact,stage10,head_23,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_23,results/stage10/full_head_sweep_l16/head_23/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_23_patching_summary,summary_or_raw_artifact,stage10,head_23,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_23,,results/stage10/full_head_sweep_l16/head_23/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_23_run_causal_patching_events,summary_or_raw_artifact,stage10,head_23,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_23,results/stage10/full_head_sweep_l16/head_23/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_23/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_24_patching_results,summary_or_raw_artifact,stage10,head_24,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_24,results/stage10/full_head_sweep_l16/head_24/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_24_patching_summary,summary_or_raw_artifact,stage10,head_24,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_24,,results/stage10/full_head_sweep_l16/head_24/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_24_run_causal_patching_events,summary_or_raw_artifact,stage10,head_24,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_24,results/stage10/full_head_sweep_l16/head_24/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_24/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_25_patching_results,summary_or_raw_artifact,stage10,head_25,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_25,results/stage10/full_head_sweep_l16/head_25/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_25_patching_summary,summary_or_raw_artifact,stage10,head_25,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_25,,results/stage10/full_head_sweep_l16/head_25/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_25_run_causal_patching_events,summary_or_raw_artifact,stage10,head_25,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_25,results/stage10/full_head_sweep_l16/head_25/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_25/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_26_patching_results,summary_or_raw_artifact,stage10,head_26,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_26,results/stage10/full_head_sweep_l16/head_26/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_26_patching_summary,summary_or_raw_artifact,stage10,head_26,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_26,,results/stage10/full_head_sweep_l16/head_26/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_26_run_causal_patching_events,summary_or_raw_artifact,stage10,head_26,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_26,results/stage10/full_head_sweep_l16/head_26/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_26/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_27_patching_results,summary_or_raw_artifact,stage10,head_27,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_27,results/stage10/full_head_sweep_l16/head_27/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_27_patching_summary,summary_or_raw_artifact,stage10,head_27,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_27,,results/stage10/full_head_sweep_l16/head_27/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_27_run_causal_patching_events,summary_or_raw_artifact,stage10,head_27,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_27,results/stage10/full_head_sweep_l16/head_27/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_27/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_3_patching_results,summary_or_raw_artifact,stage10,head_3,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_3,results/stage10/full_head_sweep_l16/head_3/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_3_patching_summary,summary_or_raw_artifact,stage10,head_3,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_3,,results/stage10/full_head_sweep_l16/head_3/patching_summary.json,,,medium,,unmatched
