path,artifact_type,raw_data_rows,orphan_class,zero_row_cannot_support_null,authority_status
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_009.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_010.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_011.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_014.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/mechanics/CM_C_012.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/mechanics/CM_C_013.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/thermodynamics/CM_C_007.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/frame_rendering/thermodynamics/CM_C_015.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/nongoverning_distractor/mechanics/CM_B_UM_061.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/nongoverning_distractor/mechanics/CM_B_UM_062.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/nongoverning_distractor/mechanics/CM_B_UM_063.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/nongoverning_distractor/thermodynamics/TH_B_UM_011.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/rendered/nongoverning_distractor/thermodynamics/TH_B_UM_012.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_B_UM_061.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_B_UM_062.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_B_UM_063.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_006.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_007.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_008.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_009.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_010.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_011.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_012.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_013.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_014.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/CM_C_015.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/TH_B_UM_011.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/benchmark_expansion/verification/TH_B_UM_012.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cot_distractor_mention/cot_mention_summary.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cross_family_sufficiency/cross_family_sufficiency_results.csv,csv,100,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cross_family_sufficiency/cross_family_sufficiency_summary.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cross_family_sufficiency/run_causal_patching_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_a_coincidence/coincidence_analysis.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_b_only_probe/layer_auroc_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_b_only_probe/layer_pearson_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_b_only_probe/loo_predictions_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_b_only_probe/run_probing_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/cue_b_only_probe/summary_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_42/family_head_contributions.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_42/head_sensitivity_scores.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_42/probe_weights_layer42.npy,npy,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_42/run_attention_analysis_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_43/family_head_contributions.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_43/head_sensitivity_scores.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_43/probe_weights_layer43.npy,npy,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_43/run_attention_analysis_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_44/family_head_contributions.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_44/head_sensitivity_scores.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_44/probe_weights_layer44.npy,npy,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_44/run_attention_analysis_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_45/family_head_contributions.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_45/head_sensitivity_scores.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_45/probe_weights_layer45.npy,npy,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_attention/layer_45/run_attention_analysis_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_mhk/patching_results.csv,csv,20,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_mhk/patching_summary.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/deepseek_mhk/run_causal_patching_events.jsonl,jsonl,22,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/direct_logit_attribution/direct_logit_attribution_per_head.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/direct_logit_attribution/direct_logit_attribution_summary.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/direct_logit_attribution/run_causal_patching_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/distractor_proximity/proximity_vs_slp.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/domain_transfer_probe/layer_auroc_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/domain_transfer_probe/layer_pearson_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/domain_transfer_probe/loo_predictions_resid_post_last_prompt.json,json,,paper_relevant_noncritical,False,not_authority_resolved
results/stage10/domain_transfer_probe/run_probing_events.jsonl,jsonl,1,paper_relevant_noncritical,False,not_authority_resolved
